Place,Type_of_Crime,Year
Koyambedu,Chain Snatching / Theft,2022
Besant Nagar,Theft / Robbery,2021
Porur,Assault / Attack,2023
Chepauk,Theft / Robbery,2022
Nungambakkam,Harassment / Cyber‑crime,2020
Vadapalani,Other Crime,2022
Thiruvanmiyur,Harassment / Cyber‑crime,2024
Porur,Theft / Robbery,2024
Vadapalani,Harassment / Cyber‑crime,2023
Nungambakkam,Rape / Sexual Assault,2023
Kodambakkam,Chain Snatching / Theft,2026
Adyar,Assault / Attack,2023
Mambalam,Assault / Attack,2022
Chepauk,Assault / Attack,2022
Mylapore,Harassment / Cyber‑crime,2023
Chromepet,Rape / Sexual Assault,2025
Mylapore,Harassment / Cyber‑crime,2022
Saidapet,Theft / Robbery,2025
Nungambakkam,Harassment / Cyber‑crime,2020
Pallavaram,Chain Snatching / Theft,2023
Chromepet,Chain Snatching / Theft,2025
Teynampet,Assault / Attack,2022
Chepauk,Assault / Attack,2024
Chetpet,Rape / Sexual Assault,2022
Urapakkam,Kidnapping / Abduction,2025
Adyar,Theft / Robbery,2020
Anna Nagar,Assault / Attack,2025
Chromepet,Theft / Robbery,2021
Chetpet,Rape / Sexual Assault,2025
Koyambedu,Harassment / Cyber‑crime,2023
Chetpet,Rape / Sexual Assault,2025
Vadapalani,Harassment / Cyber‑crime,2022
Mylapore,Theft / Robbery,2026
Mambalam,Murder,2021
Urapakkam,Assault / Attack,2021
Chromepet,Murder,2023
Chromepet,Theft / Robbery,2020
Urapakkam,Harassment / Cyber‑crime,2021
Sholinganallur,Rape / Sexual Assault,2026
Saidapet,Chain Snatching / Theft,2026
Vadapalani,Murder,2023
Royapettah,Theft / Robbery,2026
Koyambedu,Harassment / Cyber‑crime,2024
Alandur,Theft / Robbery,2022
Tambaram,Rape / Sexual Assault,2025
Chromepet,Theft / Robbery,2024
Nungambakkam,Theft / Robbery,2026
Anna Nagar,Chain Snatching / Theft,2022
Porur,Theft / Robbery,2024
Mambalam,Kidnapping / Abduction,2020
Tambaram,Chain Snatching / Theft,2021
Anna Nagar,Assault / Attack,2020
Mambalam,Chain Snatching / Theft,2026
Teynampet,Theft / Robbery,2025
Medavakkam,Other Crime,2025
Purasawalkam,Rape / Sexual Assault,2024
Sholinganallur,Harassment / Cyber‑crime,2022
Tambaram,Assault / Attack,2021
Ashok Nagar,Theft / Robbery,2022
Perambur,Harassment / Cyber‑crime,2023
Saidapet,Harassment / Cyber‑crime,2025
Thiruvanmiyur,Murder,2024
Adyar,Theft / Robbery,2020
Mylapore,Harassment / Cyber‑crime,2020
Anna Nagar,Harassment / Cyber‑crime,2021
Vadapalani,Other Crime,2023
Sholinganallur,Kidnapping / Abduction,2026
Alandur,Other Crime,2024
Thiruvanmiyur,Harassment / Cyber‑crime,2025
Nungambakkam,Theft / Robbery,2023
Thiruvanmiyur,Rape / Sexual Assault,2023
Chetpet,Kidnapping / Abduction,2021
Saidapet,Harassment / Cyber‑crime,2025
Vadapalani,Murder,2025
Teynampet,Theft / Robbery,2021
Koyambedu,Other Crime,2024
Thiruvanmiyur,Assault / Attack,2023
Kodambakkam,Assault / Attack,2024
Ashok Nagar,Assault / Attack,2026
Teynampet,Theft / Robbery,2024
Purasawalkam,Theft / Robbery,2024
Ashok Nagar,Theft / Robbery,2020
Adyar,Rape / Sexual Assault,2020
Mylapore,Kidnapping / Abduction,2021
Chetpet,Assault / Attack,2020
Porur,Chain Snatching / Theft,2025
Besant Nagar,Chain Snatching / Theft,2025
Besant Nagar,Theft / Robbery,2021
Pallavaram,Harassment / Cyber‑crime,2025
Perambur,Assault / Attack,2021
Anna Nagar,Chain Snatching / Theft,2022
Mambalam,Theft / Robbery,2022
Kodambakkam,Harassment / Cyber‑crime,2023
Ashok Nagar,Harassment / Cyber‑crime,2022
Anna Nagar,Theft / Robbery,2023
Chromepet,Rape / Sexual Assault,2023
Porur,Harassment / Cyber‑crime,2026
Velachery,Harassment / Cyber‑crime,2020
Teynampet,Theft / Robbery,2021
Purasawalkam,Harassment / Cyber‑crime,2020
Koyambedu,Theft / Robbery,2024
Guindy,Harassment / Cyber‑crime,2020
Kodambakkam,Theft / Robbery,2025
Mambalam,Chain Snatching / Theft,2024
Pallavaram,Theft / Robbery,2024
Alandur,Theft / Robbery,2024
Ashok Nagar,Rape / Sexual Assault,2021
Egmore,Rape / Sexual Assault,2021
Adyar,Assault / Attack,2022
Porur,Theft / Robbery,2024
Adyar,Chain Snatching / Theft,2022
Velachery,Murder,2021
Tambaram,Theft / Robbery,2026
Guindy,Theft / Robbery,2020
Saidapet,Murder,2025
Koyambedu,Rape / Sexual Assault,2025
T Nagar,Assault / Attack,2022
Royapettah,Assault / Attack,2021
Sholinganallur,Assault / Attack,2021
Chromepet,Assault / Attack,2024
Teynampet,Assault / Attack,2024
Vadapalani,Murder,2025
Koyambedu,Assault / Attack,2026
Nungambakkam,Other Crime,2024
Nungambakkam,Assault / Attack,2021
Velachery,Harassment / Cyber‑crime,2022
Medavakkam,Theft / Robbery,2025
Tambaram,Kidnapping / Abduction,2022
Porur,Kidnapping / Abduction,2020
Anna Nagar,Assault / Attack,2025
Royapettah,Other Crime,2023
Teynampet,Rape / Sexual Assault,2026
Alandur,Murder,2024
Kodambakkam,Kidnapping / Abduction,2020
Ashok Nagar,Chain Snatching / Theft,2026
Tambaram,Rape / Sexual Assault,2022
Teynampet,Theft / Robbery,2022
Urapakkam,Murder,2023
Mylapore,Theft / Robbery,2020
Koyambedu,Kidnapping / Abduction,2023
Koyambedu,Assault / Attack,2021
Pallavaram,Theft / Robbery,2023
Medavakkam,Theft / Robbery,2023
Urapakkam,Murder,2025
Ashok Nagar,Theft / Robbery,2025
Sholinganallur,Harassment / Cyber‑crime,2021
Medavakkam,Other Crime,2023
Guindy,Chain Snatching / Theft,2023
Porur,Murder,2021
Mambalam,Chain Snatching / Theft,2025
Teynampet,Kidnapping / Abduction,2025
T Nagar,Kidnapping / Abduction,2021
Mylapore,Assault / Attack,2023
Koyambedu,Theft / Robbery,2021
Medavakkam,Theft / Robbery,2024
Urapakkam,Rape / Sexual Assault,2021
Vadapalani,Theft / Robbery,2026
Medavakkam,Theft / Robbery,2025
Chromepet,Assault / Attack,2023
Vadapalani,Harassment / Cyber‑crime,2024
Chepauk,Assault / Attack,2026
T Nagar,Rape / Sexual Assault,2024
Velachery,Other Crime,2021
Thiruvanmiyur,Chain Snatching / Theft,2023
Velachery,Kidnapping / Abduction,2025
Ashok Nagar,Other Crime,2024
Anna Nagar,Assault / Attack,2024
Koyambedu,Other Crime,2025
Koyambedu,Rape / Sexual Assault,2025
Porur,Theft / Robbery,2026
Perambur,Theft / Robbery,2020
Thiruvanmiyur,Theft / Robbery,2024
Saidapet,Rape / Sexual Assault,2025
Royapettah,Harassment / Cyber‑crime,2025
Thiruvanmiyur,Kidnapping / Abduction,2024
Besant Nagar,Assault / Attack,2021
Medavakkam,Rape / Sexual Assault,2025
Adyar,Chain Snatching / Theft,2025
Nungambakkam,Harassment / Cyber‑crime,2020
Mylapore,Theft / Robbery,2023
Tambaram,Harassment / Cyber‑crime,2021
Sholinganallur,Theft / Robbery,2022
Vadapalani,Theft / Robbery,2020
Pallavaram,Chain Snatching / Theft,2023
Perambur,Theft / Robbery,2024
Mambalam,Assault / Attack,2024
Chromepet,Chain Snatching / Theft,2024
Purasawalkam,Harassment / Cyber‑crime,2025
Perambur,Rape / Sexual Assault,2022
T Nagar,Rape / Sexual Assault,2021
Thiruvanmiyur,Murder,2025
Royapettah,Harassment / Cyber‑crime,2021
Royapettah,Assault / Attack,2026
Mylapore,Rape / Sexual Assault,2025
Saidapet,Other Crime,2024
Chetpet,Assault / Attack,2026
Vadapalani,Theft / Robbery,2020
Besant Nagar,Assault / Attack,2022
Anna Nagar,Harassment / Cyber‑crime,2024
Kodambakkam,Rape / Sexual Assault,2023
Saidapet,Theft / Robbery,2026
Guindy,Chain Snatching / Theft,2020
Velachery,Assault / Attack,2024
Anna Nagar,Assault / Attack,2024
Chepauk,Assault / Attack,2024
Medavakkam,Murder,2022
Thiruvanmiyur,Theft / Robbery,2023
Guindy,Assault / Attack,2025
Ashok Nagar,Theft / Robbery,2021
Medavakkam,Murder,2025
Nungambakkam,Chain Snatching / Theft,2024
Ashok Nagar,Other Crime,2025
Guindy,Kidnapping / Abduction,2025
Ashok Nagar,Chain Snatching / Theft,2022
Medavakkam,Theft / Robbery,2024
Pallavaram,Other Crime,2025
Medavakkam,Theft / Robbery,2023
Medavakkam,Other Crime,2026
Adyar,Other Crime,2023
Mambalam,Harassment / Cyber‑crime,2021
Nungambakkam,Other Crime,2023
Alandur,Assault / Attack,2026
Royapettah,Theft / Robbery,2022
Chromepet,Assault / Attack,2025
Mambalam,Assault / Attack,2025
T Nagar,Rape / Sexual Assault,2023
Thiruvanmiyur,Harassment / Cyber‑crime,2020
Sholinganallur,Other Crime,2025
Koyambedu,Theft / Robbery,2022
Medavakkam,Kidnapping / Abduction,2025
Saidapet,Chain Snatching / Theft,2023
Porur,Chain Snatching / Theft,2023
Koyambedu,Other Crime,2025
Purasawalkam,Assault / Attack,2023
Mylapore,Other Crime,2023
Porur,Kidnapping / Abduction,2023
Velachery,Theft / Robbery,2023
Pallavaram,Assault / Attack,2024
Tambaram,Harassment / Cyber‑crime,2025
Adyar,Theft / Robbery,2023
Perambur,Harassment / Cyber‑crime,2024
Vadapalani,Harassment / Cyber‑crime,2024
Egmore,Theft / Robbery,2022
Kodambakkam,Assault / Attack,2022
Chepauk,Kidnapping / Abduction,2026
Urapakkam,Assault / Attack,2025
Pallavaram,Murder,2024
Alandur,Murder,2024
Koyambedu,Theft / Robbery,2020
Adyar,Chain Snatching / Theft,2024
Chetpet,Theft / Robbery,2024
Chepauk,Harassment / Cyber‑crime,2024
T Nagar,Theft / Robbery,2023
Royapettah,Theft / Robbery,2020
T Nagar,Chain Snatching / Theft,2021
Pallavaram,Harassment / Cyber‑crime,2026
Perambur,Rape / Sexual Assault,2023
Chromepet,Assault / Attack,2023
Besant Nagar,Murder,2020
Thiruvanmiyur,Assault / Attack,2020
Ashok Nagar,Harassment / Cyber‑crime,2025
Vadapalani,Rape / Sexual Assault,2024
Royapettah,Theft / Robbery,2024
Alandur,Theft / Robbery,2022
Alandur,Chain Snatching / Theft,2025
Chromepet,Other Crime,2021
Koyambedu,Murder,2021
T Nagar,Kidnapping / Abduction,2023
Egmore,Theft / Robbery,2022
Mambalam,Theft / Robbery,2022
Mylapore,Kidnapping / Abduction,2024
T Nagar,Chain Snatching / Theft,2024
Thiruvanmiyur,Other Crime,2025
Saidapet,Assault / Attack,2023
Chetpet,Theft / Robbery,2020
Velachery,Kidnapping / Abduction,2022
Medavakkam,Theft / Robbery,2026
Chromepet,Assault / Attack,2024
Adyar,Theft / Robbery,2025
Adyar,Harassment / Cyber‑crime,2020
Velachery,Theft / Robbery,2024
Mylapore,Theft / Robbery,2020
Thiruvanmiyur,Chain Snatching / Theft,2024
Chetpet,Rape / Sexual Assault,2026
Adyar,Assault / Attack,2026
Thiruvanmiyur,Theft / Robbery,2024
Adyar,Murder,2023
Kodambakkam,Murder,2026
Kodambakkam,Theft / Robbery,2024
Tambaram,Chain Snatching / Theft,2020
Chromepet,Theft / Robbery,2023
Thiruvanmiyur,Other Crime,2022
Purasawalkam,Assault / Attack,2023
Mambalam,Assault / Attack,2023
Purasawalkam,Assault / Attack,2024
T Nagar,Assault / Attack,2023
Tambaram,Kidnapping / Abduction,2021
Koyambedu,Theft / Robbery,2024
Koyambedu,Theft / Robbery,2025
Nungambakkam,Chain Snatching / Theft,2024
Urapakkam,Chain Snatching / Theft,2022
T Nagar,Chain Snatching / Theft,2026
Chromepet,Assault / Attack,2026
Guindy,Kidnapping / Abduction,2022
Egmore,Assault / Attack,2020
Medavakkam,Assault / Attack,2025
Guindy,Theft / Robbery,2025
Teynampet,Assault / Attack,2026
Ashok Nagar,Theft / Robbery,2025
Ashok Nagar,Theft / Robbery,2024
Egmore,Chain Snatching / Theft,2024
Royapettah,Theft / Robbery,2020
Royapettah,Rape / Sexual Assault,2022
Mylapore,Rape / Sexual Assault,2023
Alandur,Chain Snatching / Theft,2024
Pallavaram,Assault / Attack,2024
Anna Nagar,Assault / Attack,2025
T Nagar,Chain Snatching / Theft,2022
Royapettah,Chain Snatching / Theft,2024
Anna Nagar,Theft / Robbery,2020
Adyar,Harassment / Cyber‑crime,2023
Urapakkam,Kidnapping / Abduction,2025
Urapakkam,Harassment / Cyber‑crime,2024
Alandur,Theft / Robbery,2026
Vadapalani,Chain Snatching / Theft,2022
Chromepet,Assault / Attack,2023
Saidapet,Theft / Robbery,2022
Perambur,Assault / Attack,2023
Chetpet,Murder,2025
Perambur,Rape / Sexual Assault,2024
Adyar,Kidnapping / Abduction,2025
Thiruvanmiyur,Murder,2022
Purasawalkam,Assault / Attack,2025
Egmore,Assault / Attack,2020
Besant Nagar,Rape / Sexual Assault,2025
Tambaram,Other Crime,2022
Teynampet,Theft / Robbery,2022
Velachery,Theft / Robbery,2024
Medavakkam,Theft / Robbery,2026
Egmore,Theft / Robbery,2020
Velachery,Murder,2023
Pallavaram,Harassment / Cyber‑crime,2025
Egmore,Other Crime,2023
Pallavaram,Theft / Robbery,2021
Urapakkam,Harassment / Cyber‑crime,2023
Perambur,Harassment / Cyber‑crime,2023
Alandur,Chain Snatching / Theft,2026
Tambaram,Assault / Attack,2025
Egmore,Theft / Robbery,2024
Sholinganallur,Theft / Robbery,2026
Vadapalani,Harassment / Cyber‑crime,2023
Velachery,Chain Snatching / Theft,2020
T Nagar,Theft / Robbery,2022
Chepauk,Theft / Robbery,2023
Perambur,Chain Snatching / Theft,2021
Medavakkam,Chain Snatching / Theft,2026
Urapakkam,Other Crime,2025
Chetpet,Kidnapping / Abduction,2022
Kodambakkam,Theft / Robbery,2024
Tambaram,Assault / Attack,2025
Chromepet,Harassment / Cyber‑crime,2026
Adyar,Rape / Sexual Assault,2025
Porur,Assault / Attack,2024
Nungambakkam,Harassment / Cyber‑crime,2025
Kodambakkam,Theft / Robbery,2024
Chepauk,Kidnapping / Abduction,2024
Chromepet,Assault / Attack,2021
Kodambakkam,Other Crime,2021
Chromepet,Murder,2024
Medavakkam,Theft / Robbery,2022
Sholinganallur,Harassment / Cyber‑crime,2020
Chepauk,Theft / Robbery,2025
Adyar,Harassment / Cyber‑crime,2020
Egmore,Kidnapping / Abduction,2024
Velachery,Rape / Sexual Assault,2024
Thiruvanmiyur,Assault / Attack,2026
Egmore,Assault / Attack,2023
Koyambedu,Theft / Robbery,2020
Urapakkam,Chain Snatching / Theft,2024
Besant Nagar,Chain Snatching / Theft,2025
Besant Nagar,Harassment / Cyber‑crime,2026
Saidapet,Harassment / Cyber‑crime,2023
Besant Nagar,Assault / Attack,2022
Tambaram,Chain Snatching / Theft,2026
Perambur,Harassment / Cyber‑crime,2021
Vadapalani,Harassment / Cyber‑crime,2024
Chetpet,Chain Snatching / Theft,2023
Chetpet,Theft / Robbery,2020
Saidapet,Chain Snatching / Theft,2022
Besant Nagar,Theft / Robbery,2022
Royapettah,Theft / Robbery,2024
Saidapet,Theft / Robbery,2026
Guindy,Other Crime,2022
Nungambakkam,Chain Snatching / Theft,2025
Guindy,Harassment / Cyber‑crime,2020
Nungambakkam,Harassment / Cyber‑crime,2024
Chepauk,Assault / Attack,2020
Vadapalani,Chain Snatching / Theft,2026
Mylapore,Assault / Attack,2025
Mylapore,Theft / Robbery,2024
Alandur,Theft / Robbery,2025
Porur,Kidnapping / Abduction,2024
Pallavaram,Harassment / Cyber‑crime,2026
Porur,Theft / Robbery,2025
Ashok Nagar,Murder,2026
Tambaram,Chain Snatching / Theft,2024
Tambaram,Murder,2021
Thiruvanmiyur,Harassment / Cyber‑crime,2024
Adyar,Other Crime,2021
Pallavaram,Assault / Attack,2024
Medavakkam,Theft / Robbery,2023
Kodambakkam,Harassment / Cyber‑crime,2024
Porur,Chain Snatching / Theft,2020
Royapettah,Assault / Attack,2021
Thiruvanmiyur,Other Crime,2023
Velachery,Rape / Sexual Assault,2026
T Nagar,Assault / Attack,2023
Adyar,Harassment / Cyber‑crime,2023
Mambalam,Chain Snatching / Theft,2025
Anna Nagar,Theft / Robbery,2024
Ashok Nagar,Chain Snatching / Theft,2022
Purasawalkam,Assault / Attack,2023
Egmore,Theft / Robbery,2022
Chromepet,Rape / Sexual Assault,2026
Purasawalkam,Chain Snatching / Theft,2021
Ashok Nagar,Theft / Robbery,2023
Koyambedu,Theft / Robbery,2020
Alandur,Theft / Robbery,2022
Mambalam,Chain Snatching / Theft,2025
Ashok Nagar,Harassment / Cyber‑crime,2022
Vadapalani,Kidnapping / Abduction,2020
Perambur,Theft / Robbery,2023
Vadapalani,Harassment / Cyber‑crime,2020
Royapettah,Assault / Attack,2020
Perambur,Chain Snatching / Theft,2025
Chepauk,Chain Snatching / Theft,2025
Urapakkam,Murder,2026
Besant Nagar,Harassment / Cyber‑crime,2025
Saidapet,Rape / Sexual Assault,2024
Porur,Assault / Attack,2020
Chromepet,Theft / Robbery,2025
Ashok Nagar,Theft / Robbery,2025
Nungambakkam,Theft / Robbery,2025
T Nagar,Harassment / Cyber‑crime,2024
Guindy,Theft / Robbery,2022
Chromepet,Harassment / Cyber‑crime,2025
Mylapore,Assault / Attack,2025
Porur,Rape / Sexual Assault,2026
Sholinganallur,Kidnapping / Abduction,2021
Perambur,Theft / Robbery,2022
Perambur,Assault / Attack,2022
Chepauk,Harassment / Cyber‑crime,2025
Royapettah,Theft / Robbery,2021
Purasawalkam,Rape / Sexual Assault,2020
Ashok Nagar,Theft / Robbery,2026
Medavakkam,Chain Snatching / Theft,2020
Chetpet,Harassment / Cyber‑crime,2025
Purasawalkam,Harassment / Cyber‑crime,2023
Chepauk,Harassment / Cyber‑crime,2025
Egmore,Theft / Robbery,2024
Koyambedu,Assault / Attack,2026
Ashok Nagar,Kidnapping / Abduction,2026
Purasawalkam,Rape / Sexual Assault,2020
Alandur,Theft / Robbery,2020
Chepauk,Theft / Robbery,2022
Tambaram,Assault / Attack,2024
Teynampet,Other Crime,2025
Mylapore,Rape / Sexual Assault,2023
Perambur,Assault / Attack,2024
Chetpet,Theft / Robbery,2021
Purasawalkam,Other Crime,2025
Besant Nagar,Rape / Sexual Assault,2026
Perambur,Assault / Attack,2022
Medavakkam,Harassment / Cyber‑crime,2023
Koyambedu,Harassment / Cyber‑crime,2020
Pallavaram,Assault / Attack,2024
Ashok Nagar,Theft / Robbery,2024
Velachery,Theft / Robbery,2021
Mylapore,Theft / Robbery,2023
Tambaram,Theft / Robbery,2022
Perambur,Assault / Attack,2024
Vadapalani,Theft / Robbery,2024
Chetpet,Theft / Robbery,2020
Adyar,Harassment / Cyber‑crime,2025
Medavakkam,Other Crime,2025
Kodambakkam,Harassment / Cyber‑crime,2023
Teynampet,Rape / Sexual Assault,2020
Vadapalani,Rape / Sexual Assault,2025
Chromepet,Other Crime,2026
Teynampet,Theft / Robbery,2022
Royapettah,Rape / Sexual Assault,2022
Ashok Nagar,Assault / Attack,2021
Urapakkam,Harassment / Cyber‑crime,2024
Anna Nagar,Harassment / Cyber‑crime,2021
Vadapalani,Theft / Robbery,2023
Chromepet,Murder,2024
Koyambedu,Other Crime,2024
Sholinganallur,Theft / Robbery,2023
Vadapalani,Harassment / Cyber‑crime,2023
Nungambakkam,Harassment / Cyber‑crime,2024
Kodambakkam,Harassment / Cyber‑crime,2020
Mylapore,Theft / Robbery,2020
Mambalam,Theft / Robbery,2025
Koyambedu,Assault / Attack,2020
Pallavaram,Chain Snatching / Theft,2025
Perambur,Chain Snatching / Theft,2026
Nungambakkam,Rape / Sexual Assault,2022
Perambur,Theft / Robbery,2023
Royapettah,Chain Snatching / Theft,2024
Egmore,Harassment / Cyber‑crime,2025
Perambur,Chain Snatching / Theft,2026
Guindy,Theft / Robbery,2025
Guindy,Assault / Attack,2020
Chromepet,Harassment / Cyber‑crime,2024
Anna Nagar,Harassment / Cyber‑crime,2023
Tambaram,Assault / Attack,2023
Kodambakkam,Murder,2020
Mambalam,Assault / Attack,2021
Adyar,Theft / Robbery,2025
Velachery,Assault / Attack,2023
Sholinganallur,Other Crime,2022
Ashok Nagar,Theft / Robbery,2023
Egmore,Chain Snatching / Theft,2025
Alandur,Theft / Robbery,2025
Chepauk,Harassment / Cyber‑crime,2022
Alandur,Other Crime,2021
Koyambedu,Rape / Sexual Assault,2022
Velachery,Murder,2026
Adyar,Assault / Attack,2024
Vadapalani,Rape / Sexual Assault,2024
T Nagar,Harassment / Cyber‑crime,2024
Thiruvanmiyur,Chain Snatching / Theft,2023
Royapettah,Assault / Attack,2025
Thiruvanmiyur,Theft / Robbery,2024
Velachery,Assault / Attack,2021
Velachery,Harassment / Cyber‑crime,2021
Chetpet,Murder,2024
Saidapet,Assault / Attack,2026
Nungambakkam,Harassment / Cyber‑crime,2022
Urapakkam,Harassment / Cyber‑crime,2025
Besant Nagar,Theft / Robbery,2025
Urapakkam,Harassment / Cyber‑crime,2022
Urapakkam,Rape / Sexual Assault,2020
Urapakkam,Theft / Robbery,2021
Chepauk,Chain Snatching / Theft,2025
Chetpet,Harassment / Cyber‑crime,2021
Mambalam,Murder,2023
Chetpet,Theft / Robbery,2024
Mylapore,Theft / Robbery,2025
Tambaram,Theft / Robbery,2021
Guindy,Theft / Robbery,2023
Adyar,Rape / Sexual Assault,2023
Nungambakkam,Assault / Attack,2024
Chepauk,Harassment / Cyber‑crime,2025
Velachery,Harassment / Cyber‑crime,2021
Egmore,Harassment / Cyber‑crime,2025
Sholinganallur,Rape / Sexual Assault,2024
Medavakkam,Other Crime,2024
Besant Nagar,Chain Snatching / Theft,2024
Nungambakkam,Chain Snatching / Theft,2023
Perambur,Chain Snatching / Theft,2021
Velachery,Chain Snatching / Theft,2024
Royapettah,Assault / Attack,2024
Chromepet,Theft / Robbery,2024
Urapakkam,Harassment / Cyber‑crime,2022
Chepauk,Harassment / Cyber‑crime,2026
Velachery,Harassment / Cyber‑crime,2024
Tambaram,Assault / Attack,2020
Urapakkam,Rape / Sexual Assault,2023
Vadapalani,Theft / Robbery,2025
Egmore,Chain Snatching / Theft,2025
Perambur,Assault / Attack,2023
Besant Nagar,Assault / Attack,2025
Guindy,Theft / Robbery,2022
Ashok Nagar,Theft / Robbery,2023
Tambaram,Chain Snatching / Theft,2025
Koyambedu,Harassment / Cyber‑crime,2025
Anna Nagar,Kidnapping / Abduction,2024
Adyar,Assault / Attack,2025
Velachery,Harassment / Cyber‑crime,2020
Ashok Nagar,Theft / Robbery,2025
Royapettah,Harassment / Cyber‑crime,2022
Nungambakkam,Assault / Attack,2021
Tambaram,Assault / Attack,2022
Sholinganallur,Harassment / Cyber‑crime,2023
T Nagar,Chain Snatching / Theft,2022
Sholinganallur,Rape / Sexual Assault,2022
Chromepet,Chain Snatching / Theft,2021
Anna Nagar,Theft / Robbery,2022
Perambur,Assault / Attack,2024
T Nagar,Murder,2023
Ashok Nagar,Theft / Robbery,2022
Purasawalkam,Assault / Attack,2025
Velachery,Rape / Sexual Assault,2025
Adyar,Assault / Attack,2025
Urapakkam,Chain Snatching / Theft,2022
Besant Nagar,Rape / Sexual Assault,2025
Nungambakkam,Kidnapping / Abduction,2021
Koyambedu,Assault / Attack,2021
Besant Nagar,Harassment / Cyber‑crime,2022
Mylapore,Theft / Robbery,2025
T Nagar,Theft / Robbery,2022
Velachery,Theft / Robbery,2020
Pallavaram,Rape / Sexual Assault,2021
Chepauk,Theft / Robbery,2025
Kodambakkam,Harassment / Cyber‑crime,2024
Adyar,Chain Snatching / Theft,2022
Chetpet,Chain Snatching / Theft,2024
Kodambakkam,Harassment / Cyber‑crime,2024
Anna Nagar,Rape / Sexual Assault,2024
Egmore,Theft / Robbery,2022
Koyambedu,Theft / Robbery,2025
Guindy,Theft / Robbery,2022
Egmore,Assault / Attack,2024
Sholinganallur,Assault / Attack,2020
T Nagar,Theft / Robbery,2023
Adyar,Theft / Robbery,2023
Mambalam,Chain Snatching / Theft,2024
Chromepet,Kidnapping / Abduction,2020
Mambalam,Theft / Robbery,2025
Besant Nagar,Chain Snatching / Theft,2022
Perambur,Other Crime,2024
Chepauk,Theft / Robbery,2025
Velachery,Theft / Robbery,2024
Chetpet,Assault / Attack,2025
Mylapore,Chain Snatching / Theft,2024
Urapakkam,Chain Snatching / Theft,2023
Chromepet,Rape / Sexual Assault,2025
Adyar,Theft / Robbery,2022
Urapakkam,Assault / Attack,2024
Medavakkam,Assault / Attack,2025
Anna Nagar,Theft / Robbery,2023
Pallavaram,Chain Snatching / Theft,2022
Purasawalkam,Harassment / Cyber‑crime,2023
Thiruvanmiyur,Chain Snatching / Theft,2025
Chepauk,Chain Snatching / Theft,2026
Besant Nagar,Harassment / Cyber‑crime,2024
Mambalam,Assault / Attack,2024
Egmore,Harassment / Cyber‑crime,2026
Anna Nagar,Theft / Robbery,2020
Mylapore,Harassment / Cyber‑crime,2022
Mylapore,Theft / Robbery,2025
T Nagar,Harassment / Cyber‑crime,2025
Guindy,Theft / Robbery,2025
Royapettah,Rape / Sexual Assault,2023
Medavakkam,Theft / Robbery,2020
Porur,Murder,2023
Guindy,Harassment / Cyber‑crime,2022
Besant Nagar,Harassment / Cyber‑crime,2022
Mambalam,Assault / Attack,2025
Adyar,Theft / Robbery,2020
Purasawalkam,Rape / Sexual Assault,2025
Medavakkam,Murder,2023
Urapakkam,Theft / Robbery,2024
Mylapore,Chain Snatching / Theft,2020
Thiruvanmiyur,Theft / Robbery,2022
Adyar,Theft / Robbery,2020
Adyar,Rape / Sexual Assault,2026
Tambaram,Theft / Robbery,2025
Alandur,Assault / Attack,2023
Purasawalkam,Harassment / Cyber‑crime,2022
Ashok Nagar,Theft / Robbery,2026
Urapakkam,Rape / Sexual Assault,2022
Nungambakkam,Theft / Robbery,2021
Vadapalani,Theft / Robbery,2024
Koyambedu,Theft / Robbery,2026
Kodambakkam,Other Crime,2020
Vadapalani,Harassment / Cyber‑crime,2022
Pallavaram,Assault / Attack,2026
Guindy,Assault / Attack,2021
Guindy,Assault / Attack,2021
Teynampet,Assault / Attack,2024
Guindy,Harassment / Cyber‑crime,2025
Purasawalkam,Harassment / Cyber‑crime,2023
Tambaram,Theft / Robbery,2026
Porur,Assault / Attack,2024
Velachery,Assault / Attack,2020
T Nagar,Chain Snatching / Theft,2026
Chetpet,Harassment / Cyber‑crime,2023
Perambur,Assault / Attack,2022
T Nagar,Rape / Sexual Assault,2024
Vadapalani,Harassment / Cyber‑crime,2022
Chromepet,Rape / Sexual Assault,2020
T Nagar,Theft / Robbery,2020
Perambur,Rape / Sexual Assault,2023
Chetpet,Harassment / Cyber‑crime,2025
Egmore,Theft / Robbery,2024
Purasawalkam,Theft / Robbery,2026
Thiruvanmiyur,Chain Snatching / Theft,2022
Guindy,Theft / Robbery,2022
Guindy,Assault / Attack,2021
Tambaram,Assault / Attack,2021
Teynampet,Murder,2022
Tambaram,Kidnapping / Abduction,2025
Velachery,Rape / Sexual Assault,2026
Velachery,Assault / Attack,2026
Mylapore,Assault / Attack,2022
Teynampet,Harassment / Cyber‑crime,2025
Tambaram,Harassment / Cyber‑crime,2022
Guindy,Theft / Robbery,2021
Kodambakkam,Murder,2025
Sholinganallur,Harassment / Cyber‑crime,2024
Perambur,Assault / Attack,2021
Perambur,Chain Snatching / Theft,2023
Porur,Chain Snatching / Theft,2022
T Nagar,Chain Snatching / Theft,2025
Sholinganallur,Assault / Attack,2023
Urapakkam,Theft / Robbery,2026
Teynampet,Kidnapping / Abduction,2020
Alandur,Assault / Attack,2023
Nungambakkam,Theft / Robbery,2023
Porur,Chain Snatching / Theft,2024
Velachery,Chain Snatching / Theft,2022
Vadapalani,Assault / Attack,2025
